Date,SP500,cpi
2016-09-09,-1143.4812738772766,1.086358080430557
2016-09-12,-1145.1665309315417,1.1251657909051858
2016-09-13,-1149.4425318334752,1.2236325527392466
2016-09-14,-1152.9894430958352,1.3053100066330217
2016-09-15,-1154.7896773421849,1.3467653853493005
2016-09-16,-1156.9234064645602,1.3959004070974004
2016-09-19,-1159.8697514929654,1.4637481603712104
2016-09-20,-1162.4662136907486,1.5235388925772213
2016-09-21,-1163.0253393203698,1.5364143085254227
2016-09-22,-1162.5740429451907,1.5260219597606692
2016-09-23,-1163.6658991371369,1.5511649721395315
2016-09-26,-1166.5494120502617,1.6175658419648187
2016-09-27,-1168.4224855245911,1.6606985456111545
2016-09-28,-1169.1315783727587,1.677027372054397
2016-09-29,-1167.4663181099,1.63868014307684
2016-09-30,-1166.8072085232498,1.6235023196432792
2016-10-03,-1164.3534246528043,2.1321469347522566
2016-10-04,-1162.5881804329165,2.0914972982893687
2016-10-05,-1161.6977043085622,2.070991619626824
2016-10-06,-1160.1545343074426,2.0354558570171832
2016-10-07,-1159.1105344297152,2.011414868796521
2016-10-10,-1157.4038509965158,1.9721137566131688
2016-10-11,-1159.2883611710745,2.0155098219526906
2016-10-12,-1162.001927508241,2.0779972012518613
2016-10-13,-1164.2970256814028,2.130848192256167
2016-10-14,-1165.233928532447,2.1524229748652317
2016-10-17,-1167.621147931231,2.2073953121908403
2016-10-18,-1169.8898336031025,2.2596380822116657
2016-10-19,-1170.3782643860359,2.270885553547288
2016-10-20,-1172.3013211218836,2.315169260203305
2016-10-21,-1173.732373105976,2.3481231949945993
2016-10-24,-1173.6723827317587,2.3467417505033836
2016-10-25,-1174.855645355562,2.373989649097723
2016-10-26,-1176.3795333590406,2.4090813903161177
2016-10-27,-1177.857709429593,2.4431204876937898
2016-10-28,-1180.517718536421,2.5043745634541494
2016-10-31,-1181.2732381112787,2.5217724938439403
2016-11-01,-1183.2275828738184,2.851852248579121
2016-11-02,-1185.699078200811,2.9087652725279725
2016-11-03,-1188.8639583471509,2.981645402057893
2016-11-04,-1191.8146095721359,3.0495923174326265
2016-11-07,-1192.3916050458643,3.0628792360264185
2016-11-08,-1192.7293712504816,3.07065723822717
2016-11-09,-1191.164077510657,3.0346120152689764
2016-11-10,-1189.2845708924488,2.991331170670236
2016-11-11,-1188.3476854753985,2.969756789527139
2016-11-14,-1186.8452238508544,2.935158450017468
2016-11-15,-1183.9202877673897,2.8678036969863854
2016-11-16,-1180.7854115251557,2.795614490435071
2016-11-17,-1176.4501176087747,2.6957823427495953
2016-11-18,-1172.4690301535893,2.6041067796988386
2016-11-21,-1166.2949554295697,2.4619316119805887
2016-11-22,-1158.7969431821357,2.2892691165486667
2016-11-23,-1150.5091361271466,2.0984194085794172
2016-11-25,-1141.3565506553296,1.8876557828253056
2016-11-28,-1136.3435973824153,1.7722186518868739
2016-11-29,-1131.6948402494027,1.6651681455986704
2016-11-30,-1129.1562240445442,1.6067094775663975
2016-12-01,-1127.456883318324,2.178739430050058
2016-12-02,-1125.4931182059008,2.133518300294071
2016-12-05,-1122.6003129738406,2.0669034490930756
2016-12-06,-1120.3266237456187,2.0145454583314972
2016-12-07,-1115.727117646365,1.908629093481153
2016-12-08,-1111.508962737356,1.81149439582083
2016-12-09,-1105.9654232834096,1.6838390487691868
2016-12-12,-1101.767962525576,1.5871808912457368
2016-12-13,-1096.856405363225,1.47407868653832
2016-12-14,-1093.3887490387292,1.3942262970610102
2016-12-15,-1089.912532623056,1.3141767877798145
2016-12-16,-1085.8885924100027,1.2215144213116105
2016-12-19,-1081.756108148742,1.126352527554161
2016-12-20,-1076.6181880050376,1.0080376883585416
2016-12-21,-1071.3267441079593,0.886187539604748
2016-12-22,-1066.3987641230242,0.7727071539293888
2016-12-23,-1062.1798769862562,0.6755555946972436
2016-12-27,-1058.1345278282624,0.5824002279863123
2016-12-28,-1057.522559762066,0.5683079686051542
2016-12-29,-1057.3033272843613,0.5632595337091857
2016-12-30,-1058.7815033549132,0.5972986310868578
2017-01-03,-1058.6967843450007,1.576607808242528
2017-01-04,-1058.7660496041594,1.5782028326434556
2017-01-05,-1057.643492148337,1.5523528386461578
2017-01-06,-1056.5759215103826,1.5277690683992944
2017-01-09,-1055.8025669594062,1.5099604382959058
2017-01-10,-1055.3476966154053,1.4994857890019944
2017-01-11,-1055.022064470787,1.4919872071342581
2017-01-12,-1054.6464490646508,1.4833376222568404
2017-01-13,-1053.6695700647888,1.4608422781196282
2017-01-17,-1053.3768009993332,1.4541004596537732
2017-01-18,-1053.161857284214,1.44915078539276
2017-01-19,-1052.1785451404735,1.4265073003031148
2017-01-20,-1050.6039590817136,1.3902480959692127
2017-01-23,-1048.7208959286781,1.3468853523073392
2017-01-24,-1047.1327462223908,1.3103138074287983
2017-01-25,-1045.1604035847959,1.264895156402929
2017-01-26,-1043.1837896186098,1.2193781462081006
2017-01-27,-1041.9191276756483,1.1902558028798182
2017-01-30,-1041.0622119902278,1.170522946259041
2017-01-31,-1040.350242533009,1.154127877926527
2017-02-01,-1040.0392487421868,1.5350692450188888
2017-02-02,-1039.295863227328,1.5179507349621133
2017-02-03,-1037.6691495257573,1.480491147301052
2017-02-06,-1035.9074618406967,1.4399234099012688
2017-02-07,-1034.3942783096886,1.4050781688042377
